id,name,source_family,countries,categories,base_url,discovery_method,automation_permitted,expected_update_frequency,default_independence_class,language,last_checked_at,next_review_at,status,notes
reg_3276a47f6bb63377,Mazi Mobility,web,,,https://mazimobility.com/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_4e3589eee63db6d9,The smarter E AWARD,web,,,https://www.thesmartere-award.com/,human_reviewed_bulk_intake,false,unknown,independent_secondary,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_884c066b8afa261c,Climate Compatible Growth,web,,,https://climatecompatiblegrowth.com/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_b21f0deb31173ad1,Rubicon,web,,,https://www.rubicon.tech/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_b577b8aa9f71d92e,Spiro,web,,,https://www.spironet.com/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
