id,url,title,publisher,source_type,author,publication_date,retrieved_at,archived_url,source_license,independence_class,automation_permitted,notes
src_0b2d11046a03402c,https://mazimobility.com/product.html,Product - Mazi Mobility,Mazi Mobility,web,,,2026-08-02,,all_rights_reserved,provider_authored,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
src_2036ee97788b09bc,https://www.spironet.com/faq,FAQ | Spiro,Spiro,web,,,2026-08-02,,all_rights_reserved,provider_authored,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
src_966853451e9815ad,https://www.rubicon.tech/blogs/news/introducing-our-rubicon-charge-ev-app,Introducing our Rubicon Charge EV app,Rubicon,web,,2024-08-12,2026-08-02,,all_rights_reserved,provider_authored,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
src_b0d8da97968bb795,https://climatecompatiblegrowth.com/clicsand-for-osemosys-a-user-friendly-interface-using-open-source-optimisation-software-for-energy-system-modelling-analysis/,clicSAND for OSeMOSYS: a user-friendly interface using open-source optimisation software for energy system modelling analysis,Climate Compatible Growth,web,,2022-09-19,2026-08-02,,all_rights_reserved,provider_authored,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
src_b587f5fa42612646,https://www.thesmartere-award.com/hall-of-fame/thesmartere-award-winners-2025/7secondsolar,AUTOPV by 7Secondsolar,The smarter E AWARD,web,,,2026-08-02,,all_rights_reserved,independent_secondary,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
