id,name,source_family,countries,categories,base_url,discovery_method,automation_permitted,expected_update_frequency,default_independence_class,language,last_checked_at,next_review_at,status,notes
reg_139b83c4263be1e7,D-REC Organization,web,,,https://d-rec.github.io/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_2f2bb3d84818f2a2,SHYFT Power Solutions,web,,,https://shyftpower.com/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_63e3672eb8825d22,Johannesburg Stock Exchange,web,,,https://www.jse.co.za/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_869006413bd28fa6,Pylon,web,,,https://pylonump.com/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_884c066b8afa261c,Climate Compatible Growth,web,,,https://climatecompatiblegrowth.com/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_b9beea8cfa9915fd,Energize,web,,,https://www.energize.co.za/,human_reviewed_bulk_intake,false,unknown,independent_secondary,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_f40fb35a1ff7b6b4,PowerOptimal,web,,,https://poweroptimal.com/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
