id,url,title,publisher,source_type,author,publication_date,retrieved_at,archived_url,source_license,independence_class,automation_permitted,notes
src_19cbb51c9737fa08,https://cloud.netelek.co.za/,Netelek Cloud,Netelek,web,,,2026-08-02,,all_rights_reserved,provider_authored,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
src_49525542a4a0aa7a,https://energy-modelling-tools.github.io/onsset/applications/,OnSSET Applications,OnSSET,web,,,2026-08-02,,all_rights_reserved,provider_authored,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
src_6fa288b6cac304e9,https://www.iea.org/data-and-statistics/data-product/building-level-electricity-access-and-demand-model,Building-level Electricity Access and Demand Model,International Energy Agency,web,,,2026-08-02,,all_rights_reserved,provider_authored,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
src_80750634d4eb4e8f,https://onsset.readthedocs.io/en/latest/applications.html,Online interfaces & Applications,OnSSET,web,,,2026-08-02,,all_rights_reserved,provider_authored,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
src_a6c915fb6879f499,https://www.esmap.org/global-electrification-platform-gep,Global Electrification Platform,World Bank ESMAP,web,,,2026-08-02,,all_rights_reserved,provider_authored,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
