id,url,title,publisher,source_type,author,publication_date,retrieved_at,archived_url,source_license,independence_class,automation_permitted,notes
src_006b50f09716afd0,https://osemosys-global.readthedocs.io/en/latest/,Welcome to the documentation of OSeMOSYS Global,OSeMOSYS Community,web,,,2026-08-02,,all_rights_reserved,provider_authored,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
src_978f6fdd465962a6,https://github.com/pypsa-meets-earth/pypsa-earth,PyPSA-Earth: A Flexible Python-based Open Optimisation Model to Study Energy System Futures around the World,PyPSA meets Earth,web,,,2026-08-02,,all_rights_reserved,provider_authored,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
src_a9aeffadb63a1fef,https://osemosys.readthedocs.io/en/latest/,Welcome to the OSeMOSYS documentation,OSeMOSYS Community,web,,,2026-08-02,,Apache-2.0,provider_authored,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
src_cdecc55785a2e84f,https://arkflow.co.za/,ArkFlow: the operating system for solar EPCs and installers in South Africa,ArkFlow,web,,,2026-08-02,,all_rights_reserved,provider_authored,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
src_e5c412f183848e7c,https://github.com/PyPSA/PyPSA,PyPSA: Python for Power System Analysis,PyPSA Contributors,web,,,2026-08-02,,MIT,provider_authored,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
