id,name,source_family,countries,categories,base_url,discovery_method,automation_permitted,expected_update_frequency,default_independence_class,language,last_checked_at,next_review_at,status,notes
reg_328e67cb5c3b79a5,Solar MD,web,,,https://www.solarmd.com/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_45822e57a8700a33,AMMP Technologies,web,,,https://www.ammp.io/,human_reviewed_bulk_intake,false,unknown,provider_authored,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
reg_4c7e1158d7dcabf0,Digital Energy Facility — AFD Group,web,,,https://digital-energy.eu/,human_reviewed_bulk_intake,false,unknown,customer_or_official,,2026-08-02,,active,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
